Código do Cliente,cod material,b2b_status,volume_hl,valor,data_doc,materialPackaging,brand,brand_desc,material,CEP_cliente
26349684,2708451,True,1.4616,33.323080000000004,2020-01-08,2.0,116.0,Viva Schin,Pet,70344080
19620228,2709138,True,0.630432,143.38814000000002,2020-01-08,4.0,42.0,Schin No Grau,Vidro,65065210
13021080,657999,True,0.066933,99.9922,2020-01-08,4.0,8.0,Dreher,Vidro,41340170
12981552,2707296,True,1.3860000000000001,1106.61441,2020-01-08,4.0,33.0,Schin,Vidro,89805517
12402084,2701086,True,0.088722,22.61722,2020-01-08,2.0,55.0,Skinka,Pet,69099244
26349684,2709393,True,0.032298,0.0,2020-01-08,7.0,107.0,Devassa,Lata,70344080
19108092,2709378,True,2.160879,786.49984,2020-01-08,7.0,107.0,Devassa,Lata,65065210
19620228,2707296,True,0.63816,195.26966,2020-01-08,4.0,33.0,Schin,Vidro,65065210
26349684,2708385,True,0.28212,0.0,2020-01-08,2.0,116.0,Viva Schin,Pet,70344080
26349684,2709378,True,0.42665,430.6096799999999,2020-01-08,7.0,107.0,Devassa,Lata,70344080
27607140,2709072,True,0.62928,593.1619800000001,2020-01-08,4.0,52.0,Eisenbahn,Vidro,54530108
26349684,2701050,True,1.04652,208.0584,2020-01-08,2.0,97.0,Itubaina,Pet,70344080
19108092,2709378,True,0.195712,0.0,2020-01-08,7.0,107.0,Devassa,Lata,65065210
13021080,2709183,True,4.053456000000001,1446.8010000000002,2020-01-08,4.0,107.0,Devassa,Vidro,41340170
12402084,2709075,True,0.08740799999999999,30.17256,2020-01-08,4.0,52.0,Eisenbahn,Vidro,69099244
12402084,2708391,True,0.05859,14.095180000000001,2020-01-08,7.0,116.0,Viva Schin,Lata,69099244
26349684,2709393,True,1.2621,330.9056,2020-01-08,7.0,107.0,Devassa,Lata,70344080
12402084,2707233,True,3.6806399999999995,290.77142,2020-01-08,4.0,33.0,Schin,Vidro,69099244
12402084,2708400,True,0.05268,28.071299999999997,2020-01-08,2.0,116.0,Viva Schin,Pet,69099244
26349684,2708340,True,0.10271999999999999,42.86347000000001,2020-01-08,2.0,116.0,Viva Schin,Pet,70344080
19620228,2707233,True,0.7646399999999999,186.81117999999998,2020-01-08,4.0,33.0,Schin,Vidro,65065210
26349684,2708427,True,0.1488,79.24962000000001,2020-01-08,2.0,116.0,Viva Schin,Pet,70344080
19108092,2700267,True,2.4223500000000002,267.3945,2020-01-08,7.0,12.0,Glacial,Lata,65065210
12981552,2709183,True,0.10799999999999998,210.29428000000001,2020-01-08,4.0,107.0,Devassa,Vidro,89805517
