sk_cliente,sk_produto,volume_hl,valor,b2b_status
39,27,1.4616,33.323080000000004,true
17,23,0.630432,143.38814000000002,true
6,10,0.066933,99.9922,true
5,22,1.3860000000000001,1106.61441,true
4,25,0.088722,22.61722,true
39,9,0.032298,0.0,true
12,9,2.160879,786.49984,true
17,22,0.63816,195.26966,true
39,27,0.28212,0.0,true
39,9,0.42665,430.6096799999999,true
47,11,0.62928,593.1619800000001,true
39,15,1.04652,208.0584,true
12,9,0.195712,0.0,true
6,9,4.053456000000001,1446.8010000000002,true
4,11,0.08740799999999999,30.17256,true
4,27,0.05859,14.095180000000001,true
39,9,1.2621,330.9056,true
4,22,3.6806399999999995,290.77142,true
4,27,0.05268,28.071299999999997,true
39,27,0.10271999999999999,42.86347000000001,true
17,22,0.7646399999999999,186.81117999999998,true
39,27,0.1488,79.24962000000001,true
12,13,2.4223500000000002,267.3945,true
5,9,0.10799999999999998,210.29428000000001,true
12,13,0.075978,0.0,true
39,9,0.04912,0.0,true
16,11,2.22768,1329.94247,true
37,9,0.313344,0.0,true
15,22,1.785024,592.4256,true
4,25,0.059292000000000004,63.8438,true
15,9,0.264096,98.46218,true
37,9,0.6206399999999999,336.88212,true
4,22,1.072224,447.56338000000005,true
47,11,0.7624799999999999,776.51453,true
5,22,3.13632,1733.9311500000001,true
15,23,0.2346,104.6809,true
4,9,0.28368,346.27824,true
39,9,0.058282,698.1805499999999,false
39,9,0.10071600000000001,0.0,true
13,9,1.59852,2371.6708200000003,true
47,11,0.28152,0.0,true
15,23,0.4530239999999999,87.8644,true
37,11,0.140165,149.86054,true
39,9,0.156672,0.0,true
4,27,0.15648,27.44478,false
39,9,0.63168,214.91199999999998,true
13,9,0.26417999999999997,0.0,true
15,27,0.08688,46.94,true
4,22,0.160962,190.59502,false
4,27,0.04116,21.42954,true
5,22,0.535194,0.0,false
8,22,0.10054800000000001,0.0,true
12,9,2.3715189999999997,1986.3552000000002,true
17,23,0.8510399999999999,69.69949,true
12,13,4.638816,1763.44128,true
12,13,0.029232,0.0,true
12,13,2.7268499999999998,914.66928,true
4,22,0.161568,397.78225,true
35,15,1.3032,483.54569999999995,true
17,9,0.068256,81.74616,true
12,13,0.07434,0.0,true
17,9,0.024528,0.0,true
12,9,1.23066,86.6688,true
39,15,0.56556,0.0,true
17,22,0.08618400000000001,5.2822000000000005,true
12,9,0.121536,0.0,false
8,11,0.092304,156.17364,true
4,25,0.045899999999999996,22.677639999999997,false
39,9,0.99036,662.9887999999999,true
17,22,0.54696,29.60055,true
39,9,0.745108,690.3796499999999,true
7,22,1.22304,297.60354,true
7,22,0.38136,294.42528,true
8,11,0.31143,183.64104,true
12,9,0.024192,0.0,true
17,22,0.03696,116.88059999999999,true
17,22,0.7994879999999999,144.24815999999998,true
39,22,0.89922,189.76203000000004,true
35,15,0.3588,0.0,true
4,27,0.15611999999999998,13.590399999999999,true
1,9,29.856417,25121.180480000003,true
13,11,0.071352,18.97506,true
13,10,0.018603,20.53493,true
13,9,1.3312739999999998,357.93772,false
13,9,0.14759999999999998,0.0,true
13,27,0.06363,40.4767,true
1,22,35.150905,17860.79802,true
1,9,3.092911,0.0,true
13,13,0.09807,0.0,false
1,22,0.49357999999999996,0.0,true
13,13,10.404,1682.2144,true
46,9,0.7339680000000001,0.0,true
13,27,0.21287999999999999,0.0,true
13,13,5.0232,773.604,true
46,9,0.005184,0.0,false
13,27,5.54688,423.67728,true
13,27,3.76128,597.19408,true
15,22,0.46296,273.6971,true
13,27,0.372,0.0,true
38,15,0.097902,0.0,true
13,27,0.59544,0.0,true
13,27,0.99648,593.0840000000001,true
38,11,0.115488,109.03547,true
15,22,0.462672,76.54686,true
46,25,0.011502,60.783840000000005,true
38,22,1.17726,443.63968,true
15,22,0.249228,20.52069,true
7,22,0.178704,224.738,true
13,13,0.6468,0.0,true
46,9,0.144648,94.76436000000001,true
7,9,0.28956,153.12087,true
38,22,0.6441079999999999,404.87364,true
46,9,2.970864,2740.3147200000003,true
15,22,0.86616,806.4631999999999,true
7,22,0.579852,375.68699999999995,false
7,9,0.21700799999999998,120.55939,false
46,9,0.18431999999999998,1193.35383,true
7,22,1.1178000000000001,405.27942,true
38,9,1.128474,0.0,true
15,22,0.19344,42.8526,true
15,23,0.24816,109.4653,true
38,9,1.376832,1011.8970400000001,true
15,23,0.096912,50.137,true
3,22,0.144592,40.6522,false
3,22,0.081344,18.016740000000002,true
3,27,0.16068,29.04553,true
3,9,0.414,174.2108,false
5,22,9.702,2590.64883,true
45,13,3.4335,1442.19614,false
3,1,0.1866,12.833079999999999,true
3,22,0.171504,181.91615000000002,true
45,13,0.46048800000000006,0.0,true
45,15,0.099,91.89024,true
45,22,0.39354,219.97104000000002,true
7,22,2.0737200000000002,917.59536,true
11,22,0.40256999999999993,335.05289999999997,true
39,27,1.17888,227.95484,true
12,9,1.8266399999999998,752.4024499999999,true
12,10,0.057816,67.38132,true
12,13,2.71656,2144.7153,false
12,13,2.38896,1414.6617599999997,true
4,22,1.40112,409.19372,true
12,13,0.115206,0.0,true
39,27,0.34224,0.0,true
12,9,0.194176,2315.6185600000003,true
