cliente_id,marca,ano_meta,volume_cliente_marca,volume_total_marca,percentual_participacao,meta_marca,meta_cliente,cidade,estado
2449428,Agua Schin,2025,61.0947,225.88642800000005,27.05,500,135.23,,
12981552,Agua Schin,2025,42.4542,225.88642800000005,18.79,500,93.97,,
21219372,Agua Schin,2025,37.54452,225.88642800000005,16.62,500,83.1,,
24200784,Agua Schin,2025,30.123299999999997,225.88642800000005,13.34,500,66.68,,
13021080,Agua Schin,2025,13.96194,225.88642800000005,6.18,500,30.9,,
26867736,Agua Schin,2025,10.84386,225.88642800000005,4.8,500,24.0,,
19253016,Agua Schin,2025,6.8770799999999985,225.88642800000005,3.04,500,15.22,,
31209876,Agua Schin,2025,5.74194,225.88642800000005,2.54,500,12.71,,
21093336,Agua Schin,2025,4.13448,225.88642800000005,1.83,500,9.15,,
20559600,Agua Schin,2025,3.3372599999999997,225.88642800000005,1.48,500,7.39,,
12315348,Agua Schin,2025,3.0463199999999997,225.88642800000005,1.35,500,6.74,,
20704572,Agua Schin,2025,2.10846,225.88642800000005,0.93,500,4.67,,
19620228,Agua Schin,2025,1.4183400000000002,225.88642800000005,0.63,500,3.14,,
19455504,Agua Schin,2025,1.21332,225.88642800000005,0.54,500,2.69,,
19108092,Agua Schin,2025,0.752328,225.88642800000005,0.33,500,1.67,,
30795300,Agua Schin,2025,0.59796,225.88642800000005,0.26,500,1.32,,
12402084,Agua Schin,2025,0.19116,225.88642800000005,0.08,500,0.42,,
27489360,Agua Schin,2025,0.16104,225.88642800000005,0.07,500,0.36,,
18048060,Agua Schin,2025,0.12323999999999999,225.88642800000005,0.05,500,0.27,,
29596344,Agua Schin,2025,0.11069999999999999,225.88642800000005,0.05,500,0.25,,
26349684,Agua Schin,2025,0.05028,225.88642800000005,0.02,500,0.11,,
30733116,Amstel,2025,539.6690899999999,6693.414275000025,8.06,6000,483.76,,
28275660,Amstel,2025,485.33127899999977,6693.414275000025,7.25,6000,435.05,,
21251112,Amstel,2025,343.6802280000001,6693.414275000025,5.13,6000,308.08,,
27393336,Amstel,2025,343.3057189999999,6693.414275000025,5.13,6000,307.74,,
21076056,Amstel,2025,337.93616399999996,6693.414275000025,5.05,6000,302.93,,
24200784,Amstel,2025,299.7648510000001,6693.414275000025,4.48,6000,268.71,,
24691824,Amstel,2025,266.0635270000001,6693.414275000025,3.98,6000,238.5,,
21219372,Amstel,2025,262.32018000000005,6693.414275000025,3.92,6000,235.14,,
